SURVEILLANCE AND LEAKS,497,4399,0.112980
HACKING AND SURVEILLANCE AND DISCLOSURE,122,4400,0.027727
GCHQ AND SURVEILLANCE,701,4400,0.159318
GCHQ AND PRIVACY,438,4400,0.099545
AUSTRIA AND PRIVACY AND EITHER HNA AGENCIES,59,4400,0.013409
AUSTRIA AND SURVEILLANCE AND EITHER AGENCIES,38,4400,0.008636
BELGIUM AND PRIVACY AND EITHER AGENCIES,73,4400,0.016591
BELGIUM AND SURVEILLANCE AND EITHER AGENCIES,42,4400,0.009545
BULGARIA AND PRIVACY AND EITHER AGENCIES,66,4400,0.015000
BULGARIA AND SURVEILLANCE AND EITHER AGENCIES,33,4400,0.007500
CROATIA AND PRIVACY AND EITHER AGENCIES,63,4400,0.014318
CROATIA AND SURVEILLANCE AND EITHER AGENCIES,33,4400,0.007500
CYPRUS AND PRIVACY AND EITHER AGENCIES,54,4400,0.012273
CYPRUS AND SURVEILLANCE AND EITHER AGENCIES,45,4400,0.010227
CZECH REPUBLIC AND PRIVACY AND EITHER AGENCIES,53,4400,0.012045
CZECH REPUBLIC AND SURVEILLANCE AND EITHER AGENCIES,42,4400,0.009545
DENMARK AND PRIVACY AND EITHER AGENCIES,89,4400,0.020227
DENMARK AND SURVEILLANCE AND EITHER AGENCIES,73,4400,0.016591
ESTONIA AND PRIVACY AND EITHER AGENCIES,43,4400,0.009773
ESTONIA AND SURVEILLANCE AND EITHER AGENCIES,33,4400,0.007500
FINLAND AND PRIVACY AND EITHER AGENCIES,64,4400,0.014545
FINLAND AND SURVEILLANCE AND EITHER AGENCIES,47,4400,0.010682
FRANCE AND PRIVACY AND EITHER AGENCIES,57,4400,0.012955
FRANCE AND SURVEILLANCE AND EITHER AGENCIES,39,4400,0.008864
GERMANY AND PRIVACY AND EITHER AGENCIES,58,4400,0.013182
GERMANY AND SURVEILLANCE AND EITHER AGENCIES,40,4400,0.009091
GREECE AND PRIVACY AND EITHER AGENCIES,105,4400,0.023864
GREECE AND SURVEILLANCE AND EITHER AGENCIES,111,4400,0.025227
HUNGARY AND PRIVACY AND EITHER AGENCIES,68,4400,0.015455
HUNGARY AND SURVEILLANCE AND EITHER AGENCIES,41,4400,0.009318
HUNGARY AND PRIVACY AND EITHER AGENCIES,68,4400,0.015455
HUNGARY AND SURVEILLANCE AND EITHER AGENCIES,41,4400,0.009318
IRELAND AND PRIVACY AND EITHER AGENCIES,60,4400,0.013636
IRELAND AND SURVEILLANCE AND EITHER AGENCIES,34,4400,0.007727
ITALY AND PRIVACY AND EITHER AGENCIES,62,4400,0.014091
ITALY AND SURVEILLANCE AND EITHER AGENCIES,43,4400,0.009773
LATVIA AND PRIVACY AND EITHER AGENCIES,63,4400,0.014318
LATVIA AND SURVEILLANCE AND EITHER AGENCIES,24,2722,0.008817
LITHUANIA AND PRIVACY AND EITHER AGENCIES,56,4399,0.012730
LITHUANIA AND SURVEILLANCE AND EITHER AGENCIES,39,4400,0.008864
LUXEMBOURG AND PRIVACY AND EITHER AGENCIES,64,4400,0.014545
LUXEMBOURG AND SURVEILLANCE AND EITHER AGENCIES,19,2804,0.006776
MALTA AND PRIVACY AND EITHER AGENCIES,73,4400,0.016591
MALTA AND SURVEILLANCE AND EITHER AGENCIES,48,4400,0.010909
NETHERLANDS AND PRIVACY AND EITHER AGENCIES,56,4400,0.012727
NETHERLANDS AND SURVEILLANCE AND EITHER AGENCIES,20,2846,0.007027
POLAND AND PRIVACY AND EITHER AGENCIES,48,4399,0.010912
POLAND AND SURVEILLANCE AND EITHER AGENCIES,41,4400,0.009318
PORTUGAL AND PRIVACY AND EITHER AGENCIES,61,4400,0.013864
PORTUGAL AND SURVEILLANCE AND EITHER AGENCIES,26,2760,0.009420
ROMANIA AND PRIVACY AND EITHER AGENCIES,69,4398,0.015689
ROMANIA AND SURVEILLANCE AND EITHER AGENCIES,47,4399,0.010684
SLOVAKIA AND PRIVACY AND EITHER AGENCIES,62,4397,0.014101
SLOVAKIA AND SURVEILLANCE AND EITHER AGENCIES,27,4399,0.006138
SPAIN AND PRIVACY AND EITHER AGENCIES,68,4398,0.015462
SPAIN AND SURVEILLANCE AND EITHER AGENCIES,40,4399,0.009093
SWEDEN AND PRIVACY AND EITHER AGENCIES,66,4398,0.015007
SWEDEN AND SURVEILLANCE AND EITHER AGENCIES,36,4399,0.008184
UK AND PRIVACY AND EITHER AGENCIES,420,4398,0.095498
UK AND SURVEILLANCE AND EITHER AGENCIES,651,4398,0.148022
